date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:49	20799/20799	---M--	200	added ('OK')	image/png	etag:%22d59dfe94585f081a21e82f58fbbe746f%22	http://product.hstatic.net/1000271846/product/01_aa21ae3914fc4f4dbdb0a3b34e26a14d_medium.png	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/01_aa21ae3914fc4f4dbdb0a3b34e26a14d_medium.png	(from https://www.zoe-vn.com/collections/all)
15:11:54	73772/73772	---M--	200	added ('OK')	image/png	etag:%2267a873d7e7bc2f0f7eb76121673a2c6b%22	http://product.hstatic.net/1000271846/product/01_aa21ae3914fc4f4dbdb0a3b34e26a14d_large.png	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/01_aa21ae3914fc4f4dbdb0a3b34e26a14d_large.png	(from https://www.zoe-vn.com/collections/all)
15:12:00	62170/62170	---M--	200	added ('OK')	image/jpeg	etag:%220f41933b0232439583848e4f5f5109c6%22	http://product.hstatic.net/1000271846/product/02_1f83556e1f1a46b78a0c4a541cc3f974_grande.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/02_1f83556e1f1a46b78a0c4a541cc3f974_grande.jpg	(from https://www.zoe-vn.com/collections/all)
15:12:01	113914/113914	---M--	200	added ('OK')	image/png	etag:%22a0471c87314312ec07340398082b3b9f%22	http://product.hstatic.net/1000271846/product/01_aa21ae3914fc4f4dbdb0a3b34e26a14d_grande.png	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/01_aa21ae3914fc4f4dbdb0a3b34e26a14d_grande.png	(from https://www.zoe-vn.com/collections/all)
15:12:01	12076/12076	---M--	200	added ('OK')	image/jpeg	etag:%2250e5949beab4439c3601296a72d30596%22	http://product.hstatic.net/1000271846/product/02_7fe9151fa3af4135923866b8cc289530_medium.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/02_7fe9151fa3af4135923866b8cc289530_medium.jpg	(from https://www.zoe-vn.com/collections/all)
15:12:03	47625/47625	---M--	200	added ('OK')	image/jpeg	etag:%228781de48d74e5b8fd811f1ea45a15874%22	http://product.hstatic.net/1000271846/product/02_7fe9151fa3af4135923866b8cc289530_grande.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/02_7fe9151fa3af4135923866b8cc289530_grande.jpg	(from https://www.zoe-vn.com/collections/all)
15:12:04	3385/3385	---M--	200	added ('OK')	image/jpeg	etag:%22266b6219df2bd82006069d81148ad74a%22	http://product.hstatic.net/1000271846/product/01_6c25dc81d6c6455486ee446d346d5860_medium.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/01_6c25dc81d6c6455486ee446d346d5860_medium.jpg	(from https://www.zoe-vn.com/collections/all)
15:12:10	8935/8935	---M--	200	added ('OK')	image/jpeg	etag:%22d3aa530e3a63b24c03547c0f94cf925c%22	http://product.hstatic.net/1000271846/product/01_6c25dc81d6c6455486ee446d346d5860_large.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/01_6c25dc81d6c6455486ee446d346d5860_large.jpg	(from https://www.zoe-vn.com/collections/all)
15:12:11	12381/12381	---M--	200	added ('OK')	image/jpeg	etag:%22c37db207abb18e4c17c6ce02d97db854%22	http://product.hstatic.net/1000271846/product/01_6c25dc81d6c6455486ee446d346d5860_grande.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/01_6c25dc81d6c6455486ee446d346d5860_grande.jpg	(from https://www.zoe-vn.com/collections/all)
15:12:12	13741/13741	---M--	200	added ('OK')	image/jpeg	etag:%22d128516c58e4524bd231e7d55a6f602a%22	http://product.hstatic.net/1000271846/product/02_e0093e2a8fc14130a97249deed58ab43_medium.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/02_e0093e2a8fc14130a97249deed58ab43_medium.jpg	(from https://www.zoe-vn.com/collections/all)
